# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
8000000 33 27000
  1 1.21354 841.704 0.803645
  2 2.21354 835.114 0.797353
  3 3.21354 828.75 0.791277
  4 4.21354 823.678 0.786434
  5 5.21354 823.094 0.785876
  6 6.21354 822.158 0.784983
  7 7.21354 830.806 0.79324
  8 8.21354 824.156 0.78689
  9 9.21354 831.972 0.794353
  10 10.2135 836.492 0.798668
  11 11.2135 831.054 0.793476
  12 12.2135 825.724 0.788387
  13 13.2135 822.758 0.785555
  14 14.2135 819.448 0.782395
  15 15.2135 826.948 0.789556
  16 16.2135 837.712 0.799833
  17 17.2135 839.554 0.801592
  18 18.2135 843.234 0.805106
  19 19.2135 848.804 0.810424
  20 20.2135 846.63 0.808348
  21 21.2135 842.434 0.804342
  22 22.2135 838.11 0.800213
  23 23.2135 835.942 0.798143
  24 24.2135 837.368 0.799505
  25 25.2135 827.362 0.789951
  26 26.2135 832.162 0.794534
  27 27.2135 832.612 0.794964
  28 28.2135 836.582 0.798754
  29 29.2135 843.328 0.805195
  30 30.2135 847.474 0.809154
  31 31.2135 830.208 0.792669
  32 32.2135 848.654 0.810281
  33 33.2135 307.974 0.294048
9000000 33 54000
  1 1.21354 835.423 0.797648
  2 2.21354 833.35 0.795669
  3 3.21354 823.467 0.786232
  4 4.21354 825.354 0.788034
  5 5.21354 825.531 0.788203
  6 6.21354 826.258 0.788897
  7 7.21354 830.861 0.793292
  8 8.21354 828.822 0.791345
  9 9.21354 834.233 0.796512
  10 10.2135 836.261 0.798448
  11 11.2135 834.235 0.796514
  12 12.2135 829.899 0.792374
  13 13.2135 827.857 0.790424
  14 14.2135 825.024 0.787719
  15 15.2135 830.144 0.792608
  16 16.2135 833.362 0.79568
  17 17.2135 835.672 0.797886
  18 18.2135 838.333 0.800426
  19 19.2135 842.462 0.804369
  20 20.2135 842.506 0.804411
  21 21.2135 842.632 0.804531
  22 22.2135 839.544 0.801582
  23 23.2135 836.831 0.798992
  24 24.2135 838.268 0.800364
  25 25.2135 837.191 0.799336
  26 26.2135 834.966 0.797211
  27 27.2135 839.261 0.801312
  28 28.2135 840.328 0.802331
  29 29.2135 842.328 0.804241
  30 30.2135 842.026 0.803952
  31 31.2135 828.211 0.790762
  32 32.2135 835.641 0.797856
  33 33.2135 303.719 0.289986
10000000 33 81000
  1 1.21354 832.315 0.794681
  2 2.21354 831.425 0.79383
  3 3.21354 824.145 0.786879
  4 4.21354 825.593 0.788262
  5 5.21354 826.745 0.789363
  6 6.21354 827.547 0.790128
  7 7.21354 829.688 0.792172
  8 8.21354 828.669 0.7912
  9 9.21354 832.775 0.795119
  10 10.2135 833.033 0.795366
  11 11.2135 832.516 0.794872
  12 12.2135 833.543 0.795852
  13 13.2135 832.496 0.794853
  14 14.2135 828.122 0.790677
  15 15.2135 831.632 0.794028
  16 16.2135 834.719 0.796976
  17 17.2135 836.215 0.798404
  18 18.2135 837.733 0.799854
  19 19.2135 840.209 0.802217
  20 20.2135 841.82 0.803756
  21 21.2135 841.88 0.803813
  22 22.2135 838.547 0.80063
  23 23.2135 837.907 0.800019
  24 24.2135 841.477 0.803428
  25 25.2135 840.915 0.802892
  26 26.2135 835.18 0.797416
  27 27.2135 842.276 0.804191
  28 28.2135 839.671 0.801704
  29 29.2135 839.926 0.801947
  30 30.2135 838.33 0.800423
  31 31.2135 827.397 0.789985
  32 32.2135 832.852 0.795193
  33 33.2135 302.702 0.289015
11000000 33 108000
  1 1.21354 834.206 0.796485
  2 2.21354 835.192 0.797428
  3 3.21354 827.897 0.790462
  4 4.21354 830.504 0.792951
  5 5.21354 830.352 0.792807
  6 6.21354 831.159 0.793577
  7 7.21354 831.18 0.793597
  8 8.21354 832.526 0.794882
  9 9.21354 833.896 0.79619
  10 10.2135 831.545 0.793945
  11 11.2135 832.024 0.794403
  12 12.2135 833.926 0.796218
  13 13.2135 833.451 0.795765
  14 14.2135 830.444 0.792894
  15 15.2135 832.045 0.794423
  16 16.2135 832.452 0.794811
  17 17.2135 834.003 0.796292
  18 18.2135 835.619 0.797835
  19 19.2135 837.82 0.799936
  20 20.2135 838.937 0.801003
  21 21.2135 838.617 0.800697
  22 22.2135 836.321 0.798505
  23 23.2135 834.927 0.797174
  24 24.2135 838.406 0.800495
  25 25.2135 838.197 0.800296
  26 26.2135 835.118 0.797357
  27 27.2135 840.309 0.802313
  28 28.2135 837.89 0.800004
  29 29.2135 837.689 0.799811
  30 30.2135 837.662 0.799786
  31 31.2135 829.539 0.79203
  32 32.2135 833.269 0.795591
  33 33.2135 302.876 0.289181
12000000 33 135000
  1 1.21354 833.688 0.795991
  2 2.21354 834.796 0.79705
  3 3.21354 829.742 0.792224
  4 4.21354 829.972 0.792443
  5 5.21354 830.234 0.792693
  6 6.21354 832.507 0.794863
  7 7.21354 830.197 0.792658
  8 8.21354 830.902 0.793331
  9 9.21354 833.007 0.795341
  10 10.2135 831.291 0.793702
  11 11.2135 832.647 0.794998
  12 12.2135 835.346 0.797574
  13 13.2135 834.574 0.796838
  14 14.2135 832.29 0.794656
  15 15.2135 834.403 0.796674
  16 16.2135 834.668 0.796927
  17 17.2135 836.089 0.798284
  18 18.2135 837.347 0.799485
  19 19.2135 837.943 0.800054
  20 20.2135 838.354 0.800447
  21 21.2135 839.506 0.801547
  22 22.2135 836.362 0.798544
  23 23.2135 834.894 0.797143
  24 24.2135 837.816 0.799933
  25 25.2135 836.574 0.798747
  26 26.2135 833.412 0.795727
  27 27.2135 837.357 0.799494
  28 28.2135 836.692 0.79886
  29 29.2135 836.962 0.799118
  30 30.2135 836.3 0.798485
  31 31.2135 829.317 0.791818
  32 32.2135 832.5 0.794857
  33 33.2135 302.31 0.28864
