# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
8000000 33 27000
  1 1.11948 837.902 0.790794
  2 2.11948 836.278 0.789261
  3 3.11948 836.84 0.789791
  4 4.11948 837.184 0.790116
  5 5.11948 823.136 0.776858
  6 6.11948 818.328 0.77232
  7 7.11948 826.43 0.779967
  8 8.11948 833.742 0.786868
  9 9.11948 823.146 0.776867
  10 10.1195 818.94 0.772898
  11 11.1195 825.2 0.778806
  12 12.1195 817.44 0.771482
  13 13.1195 812.714 0.767022
  14 14.1195 815.858 0.769989
  15 15.1195 829.66 0.783015
  16 16.1195 823.678 0.777369
  17 17.1195 839.572 0.79237
  18 18.1195 845.356 0.797829
  19 19.1195 843.97 0.796521
  20 20.1195 837.796 0.790694
  21 21.1195 842.786 0.795403
  22 22.1195 832.164 0.785378
  23 23.1195 827.608 0.781078
  24 24.1195 826.212 0.779761
  25 25.1195 830.226 0.783549
  26 26.1195 831.31 0.784572
  27 27.1195 835.334 0.78837
  28 28.1195 824.332 0.777987
  29 29.1195 819.22 0.773162
  30 30.1195 823.602 0.777298
  31 31.1195 827.622 0.781092
  32 32.1195 834.504 0.787587
  33 33.1195 461.91 0.435941
9000000 33 54000
  1 1.11948 829.259 0.782637
  2 2.11948 826.772 0.78029
  3 3.11948 827.773 0.781234
  4 4.11948 832.517 0.785712
  5 5.11948 825.115 0.778726
  6 6.11948 823.152 0.776873
  7 7.11948 828.107 0.781549
  8 8.11948 833.284 0.786435
  9 9.11948 828.883 0.782282
  10 10.1195 821.401 0.77522
  11 11.1195 822.513 0.77627
  12 12.1195 822.925 0.776659
  13 13.1195 822.238 0.77601
  14 14.1195 820.884 0.774733
  15 15.1195 827.567 0.78104
  16 16.1195 822.627 0.776378
  17 17.1195 827.874 0.78133
  18 18.1195 829.592 0.782951
  19 19.1195 831.241 0.784507
  20 20.1195 830.211 0.783535
  21 21.1195 836.496 0.789467
  22 22.1195 839.522 0.792323
  23 23.1195 841.281 0.793983
  24 24.1195 836.818 0.789771
  25 25.1195 840.041 0.792812
  26 26.1195 839.01 0.791839
  27 27.1195 834.26 0.787357
  28 28.1195 827.409 0.780891
  29 29.1195 826.711 0.780232
  30 30.1195 831.511 0.784762
  31 31.1195 826.67 0.780193
  32 32.1195 829.018 0.782409
  33 33.1195 457.318 0.431607
10000000 33 81000
  1 1.11948 830.203 0.783528
  2 2.11948 826.87 0.780382
  3 3.11948 829.989 0.783325
  4 4.11948 830.291 0.783611
  5 5.11948 823.938 0.777615
  6 6.11948 823.823 0.777507
  7 7.11948 825.333 0.778932
  8 8.11948 831.847 0.785079
  9 9.11948 830.631 0.783931
  10 10.1195 825.376 0.778972
  11 11.1195 825.477 0.779067
  12 12.1195 827.468 0.780946
  13 13.1195 823.901 0.77758
  14 14.1195 820.898 0.774746
  15 15.1195 824.263 0.777922
  16 16.1195 819.78 0.773691
  17 17.1195 826.076 0.779633
  18 18.1195 828.688 0.782098
  19 19.1195 829.635 0.782992
  20 20.1195 831.589 0.784836
  21 21.1195 836.633 0.789596
  22 22.1195 837.13 0.790065
  23 23.1195 835.202 0.788246
  24 24.1195 831.94 0.785167
  25 25.1195 833.919 0.787034
  26 26.1195 835.101 0.788151
  27 27.1195 833.575 0.78671
  28 28.1195 828.963 0.782358
  29 29.1195 831.587 0.784833
  30 30.1195 833.411 0.786555
  31 31.1195 831.729 0.784967
  32 32.1195 834.664 0.787738
  33 33.1195 460.069 0.434203
11000000 33 108000
  1 1.11948 829.124 0.782509
  2 2.11948 827.287 0.780776
  3 3.11948 827.79 0.78125
  4 4.11948 832.433 0.785632
  5 5.11948 825.136 0.778746
  6 6.11948 823.575 0.777272
  7 7.11948 824.256 0.777915
  8 8.11948 828.026 0.781473
  9 9.11948 825.414 0.779008
  10 10.1195 824.017 0.777689
  11 11.1195 826.331 0.779873
  12 12.1195 825.597 0.779181
  13 13.1195 824.884 0.778508
  14 14.1195 825.063 0.778677
  15 15.1195 829.491 0.782856
  16 16.1195 823.255 0.77697
  17 17.1195 831.164 0.784435
  18 18.1195 833.555 0.786692
  19 19.1195 832.874 0.786048
  20 20.1195 831.833 0.785066
  21 21.1195 836.888 0.789837
  22 22.1195 836.011 0.789009
  23 23.1195 835.691 0.788707
  24 24.1195 831.603 0.784849
  25 25.1195 833.739 0.786865
  26 26.1195 833.716 0.786844
  27 27.1195 832.816 0.785994
  28 28.1195 829.408 0.782777
  29 29.1195 829.55 0.782911
  30 30.1195 831.975 0.7852
  31 31.1195 828.163 0.781602
  32 32.1195 830.965 0.784247
  33 33.1195 458.37 0.432599
12000000 33 135000
  1 1.11948 831.348 0.784608
  2 2.11948 830.183 0.783509
  3 3.11948 828.198 0.781635
  4 4.11948 832.771 0.785951
  5 5.11948 827.85 0.781307
  6 6.11948 825.506 0.779095
  7 7.11948 827.735 0.781198
  8 8.11948 830.697 0.783994
  9 9.11948 829.583 0.782943
  10 10.1195 827.327 0.780813
  11 11.1195 829.79 0.783138
  12 12.1195 827.12 0.780618
  13 13.1195 826.378 0.779918
  14 14.1195 826.398 0.779937
  15 15.1195 827.718 0.781183
  16 16.1195 821.139 0.774973
  17 17.1195 828.782 0.782186
  18 18.1195 831.992 0.785216
  19 19.1195 831.147 0.784418
  20 20.1195 831.202 0.78447
  21 21.1195 834.814 0.78788
  22 22.1195 834.224 0.787323
  23 23.1195 833.504 0.786643
  24 24.1195 831 0.784279
  25 25.1195 830.745 0.784039
  26 26.1195 829.527 0.78289
  27 27.1195 828.846 0.782247
  28 28.1195 827.209 0.780702
  29 29.1195 826.733 0.780253
  30 30.1195 828.615 0.782029
  31 31.1195 830.083 0.783414
  32 32.1195 832.828 0.786005
  33 33.1195 459.008 0.433202
