# Time-averaged data for fix rgnetA
# TimeStep c_gyrA
10000 34.3491
20000 34.3668
30000 34.3634
40000 34.3567
50000 34.3617
60000 34.3619
70000 34.3586
80000 34.3526
90000 34.3469
100000 34.347
110000 34.3496
120000 34.3526
130000 34.354
140000 34.3525
150000 34.3507
160000 34.3498
170000 34.3477
180000 34.3454
190000 34.3425
200000 34.3399
210000 34.3384
220000 34.3388
230000 34.3382
240000 34.3391
250000 34.3408
260000 34.3431
270000 34.347
280000 34.3504
290000 34.3524
300000 34.3566
310000 34.36
320000 34.3644
330000 34.3693
340000 34.3745
350000 34.3794
360000 34.3846
370000 34.3904
380000 34.3959
390000 34.4014
400000 34.4059
410000 34.411
420000 34.4168
430000 34.4222
440000 34.4287
450000 34.4351
460000 34.4407
470000 34.4461
480000 34.4511
490000 34.4559
500000 34.4617
510000 34.4678
520000 34.474
530000 34.4807
540000 34.487
550000 34.4924
560000 34.4983
570000 34.5046
580000 34.5102
590000 34.5149
600000 34.5202
610000 34.526
620000 34.531
630000 34.5354
640000 34.5396
650000 34.5436
660000 34.5476
670000 34.5522
680000 34.5573
690000 34.5625
700000 34.5675
710000 34.5714
720000 34.5747
730000 34.578
740000 34.5812
750000 34.584
760000 34.5862
770000 34.5883
780000 34.591
790000 34.5937
800000 34.5968
810000 34.6
820000 34.6028
830000 34.6054
840000 34.6083
850000 34.6114
860000 34.6143
870000 34.6175
880000 34.6204
890000 34.6234
900000 34.6265
910000 34.6297
920000 34.6332
930000 34.6363
940000 34.6397
950000 34.6431
960000 34.6467
970000 34.6506
980000 34.6547
990000 34.6588
1000000 34.6629
1010000 34.6667
1020000 34.6707
1030000 34.6749
1040000 34.6793
1050000 34.6838
1060000 34.6883
1070000 34.6925
1080000 34.6965
1090000 34.7005
1100000 34.7044
1110000 34.7084
1120000 34.7117
1130000 34.7149
1140000 34.7183
1150000 34.7223
1160000 34.7267
1170000 34.7309
1180000 34.735
1190000 34.739
1200000 34.7432
1210000 34.7474
1220000 34.7515
1230000 34.7555
1240000 34.7593
1250000 34.7634
1260000 34.7673
1270000 34.7708
1280000 34.7736
1290000 34.7763
1300000 34.7793
1310000 34.7826
1320000 34.7859
1330000 34.7895
1340000 34.7934
1350000 34.7976
1360000 34.802
1370000 34.8065
1380000 34.8111
1390000 34.8156
1400000 34.8202
1410000 34.8245
1420000 34.829
1430000 34.8334
1440000 34.8379
1450000 34.8424
1460000 34.8469
1470000 34.8515
1480000 34.8563
1490000 34.8615
1500000 34.8668
1510000 34.872
1520000 34.8773
1530000 34.883
1540000 34.889
1550000 34.8955
1560000 34.9022
1570000 34.909
1580000 34.9158
1590000 34.9228
1600000 34.9296
1610000 34.9359
1620000 34.9423
1630000 34.9488
1640000 34.9554
1650000 34.9621
1660000 34.9688
1670000 34.9753
1680000 34.9821
1690000 34.9885
1700000 34.9949
1710000 35.0015
1720000 35.0077
1730000 35.0138
1740000 35.0198
1750000 35.0257
1760000 35.0315
1770000 35.0372
1780000 35.0429
1790000 35.0486
1800000 35.0545
1810000 35.0602
1820000 35.066
1830000 35.0715
1840000 35.0768
1850000 35.082
1860000 35.0871
1870000 35.0922
1880000 35.0972
1890000 35.1022
1900000 35.1074
1910000 35.1126
1920000 35.1178
1930000 35.1229
1940000 35.1278
1950000 35.1326
1960000 35.1378
1970000 35.143
1980000 35.1483
1990000 35.1537
2000000 35.1591
2010000 35.1644
2020000 35.1698
2030000 35.1754
2040000 35.181
2050000 35.1866
2060000 35.192
2070000 35.1972
2080000 35.2024
2090000 35.2072
2100000 35.212
2110000 35.2168
2120000 35.2214
2130000 35.2261
2140000 35.2308
2150000 35.2352
2160000 35.2397
2170000 35.2442
2180000 35.2485
2190000 35.2528
2200000 35.2572
2210000 35.2613
2220000 35.2653
2230000 35.2694
2240000 35.2734
2250000 35.2771
2260000 35.2806
2270000 35.2842
2280000 35.2879
2290000 35.2914
2300000 35.2951
2310000 35.2987
2320000 35.3023
2330000 35.306
2340000 35.3099
2350000 35.3136
2360000 35.3174
2370000 35.3212
2380000 35.3249
2390000 35.3287
2400000 35.3327
2410000 35.3367
2420000 35.3407
2430000 35.3447
2440000 35.3486
2450000 35.3526
2460000 35.3566
2470000 35.3606
2480000 35.3646
2490000 35.3686
2500000 35.3726
2510000 35.3764
2520000 35.3801
2530000 35.3841
2540000 35.3878
2550000 35.3914
2560000 35.3949
2570000 35.3986
2580000 35.4022
2590000 35.4059
2600000 35.4098
2610000 35.4137
2620000 35.4176
2630000 35.4218
2640000 35.4259
2650000 35.43
2660000 35.434
2670000 35.4378
2680000 35.4416
2690000 35.4455
2700000 35.4496
2710000 35.4536
2720000 35.4575
2730000 35.4614
2740000 35.4653
2750000 35.4693
2760000 35.4733
2770000 35.4773
2780000 35.4811
2790000 35.4847
2800000 35.4883
2810000 35.492
2820000 35.4957
2830000 35.4992
2840000 35.5027
2850000 35.5061
2860000 35.5095
2870000 35.5127
2880000 35.5159
2890000 35.5191
2900000 35.5221
2910000 35.5253
2920000 35.5284
2930000 35.5316
2940000 35.5347
2950000 35.5377
2960000 35.5407
2970000 35.5436
2980000 35.5464
2990000 35.549
3000000 35.5518
3010000 35.5547
3020000 35.5576
3030000 35.5605
3040000 35.5633
3050000 35.566
3060000 35.5685
3070000 35.571
3080000 35.5737
3090000 35.5765
3100000 35.5792
3110000 35.5821
3120000 35.585
3130000 35.5881
3140000 35.5912
3150000 35.5943
3160000 35.5973
3170000 35.6003
3180000 35.6034
3190000 35.6065
3200000 35.6098
3210000 35.6133
3220000 35.617
3230000 35.6206
3240000 35.6245
3250000 35.6281
3260000 35.6318
3270000 35.6356
3280000 35.6393
3290000 35.6432
3300000 35.647
3310000 35.6509
3320000 35.6546
3330000 35.6584
3340000 35.6622
3350000 35.6662
3360000 35.6702
3370000 35.6743
3380000 35.6783
3390000 35.6823
3400000 35.6862
3410000 35.6901
3420000 35.694
3430000 35.6979
3440000 35.7016
3450000 35.7054
3460000 35.7091
3470000 35.7127
3480000 35.7162
3490000 35.7198
3500000 35.7235
3510000 35.7271
3520000 35.7307
3530000 35.7344
3540000 35.7382
3550000 35.7418
3560000 35.7455
3570000 35.7492
3580000 35.7528
3590000 35.7563
3600000 35.7598
3610000 35.7633
3620000 35.7669
3630000 35.7706
3640000 35.7743
3650000 35.7781
3660000 35.7819
3670000 35.7856
3680000 35.7894
3690000 35.7933
3700000 35.7972
3710000 35.8014
3720000 35.8056
3730000 35.8097
3740000 35.8139
3750000 35.8182
3760000 35.8225
3770000 35.8268
3780000 35.8313
3790000 35.8358
3800000 35.8403
3810000 35.8448
3820000 35.8491
3830000 35.8536
3840000 35.858
3850000 35.8623
3860000 35.8665
3870000 35.8709
3880000 35.8753
3890000 35.8796
3900000 35.884
3910000 35.8883
3920000 35.8925
3930000 35.8968
3940000 35.901
3950000 35.9051
3960000 35.9092
3970000 35.9132
3980000 35.9173
3990000 35.9214
4000000 35.9255
4010000 35.9295
4020000 35.9335
4030000 35.9374
4040000 35.9413
4050000 35.9453
4060000 35.9491
4070000 35.9529
4080000 35.9567
4090000 35.9603
4100000 35.9639
4110000 35.9674
4120000 35.9709
4130000 35.9743
4140000 35.9778
4150000 35.9812
4160000 35.9846
4170000 35.9879
4180000 35.9913
4190000 35.9946
4200000 35.9978
4210000 36.001
4220000 36.0043
4230000 36.0076
4240000 36.0109
4250000 36.0142
4260000 36.0175
4270000 36.0208
4280000 36.0241
4290000 36.0273
4300000 36.0305
4310000 36.0336
4320000 36.0368
4330000 36.0399
4340000 36.0432
4350000 36.0465
4360000 36.0499
4370000 36.0533
4380000 36.0568
4390000 36.0604
4400000 36.064
4410000 36.0677
4420000 36.0714
4430000 36.0749
4440000 36.0784
4450000 36.082
4460000 36.0857
4470000 36.0893
4480000 36.0927
4490000 36.0962
4500000 36.0997
4510000 36.103
4520000 36.1064
4530000 36.1099
4540000 36.1133
4550000 36.1167
4560000 36.1202
4570000 36.1235
4580000 36.127
4590000 36.1304
4600000 36.1338
4610000 36.1371
4620000 36.1404
4630000 36.1437
4640000 36.1468
4650000 36.1499
4660000 36.1529
4670000 36.156
4680000 36.1589
4690000 36.1619
4700000 36.1649
4710000 36.1678
4720000 36.1708
4730000 36.1739
4740000 36.177
4750000 36.1801
4760000 36.1831
4770000 36.186
4780000 36.1889
4790000 36.1919
4800000 36.195
4810000 36.1979
4820000 36.2008
4830000 36.2038
4840000 36.2066
4850000 36.2095
4860000 36.2124
4870000 36.2152
4880000 36.2181
4890000 36.2209
4900000 36.2237
4910000 36.2265
4920000 36.2293
4930000 36.2322
4940000 36.2352
4950000 36.2382
4960000 36.2411
4970000 36.2441
4980000 36.247
4990000 36.2501
5000000 36.2531
5010000 36.2561
5020000 36.259
5030000 36.262
5040000 36.2649
5050000 36.2679
5060000 36.2709
5070000 36.274
5080000 36.2771
5090000 36.2802
5100000 36.2832
5110000 36.286
5120000 36.2889
5130000 36.2918
5140000 36.2947
5150000 36.2975
5160000 36.3003
5170000 36.3031
5180000 36.3062
5190000 36.3091
5200000 36.312
5210000 36.3149
5220000 36.3178
5230000 36.3207
5240000 36.3236
5250000 36.3265
5260000 36.3295
5270000 36.3325
5280000 36.3356
5290000 36.3387
5300000 36.3418
5310000 36.345
5320000 36.3483
5330000 36.3517
5340000 36.355
5350000 36.3583
5360000 36.3616
5370000 36.3649
5380000 36.3682
5390000 36.3715
5400000 36.3748
5410000 36.3782
5420000 36.3818
5430000 36.3853
5440000 36.3888
5450000 36.3922
5460000 36.3956
5470000 36.3989
5480000 36.4023
5490000 36.4057
5500000 36.4091
5510000 36.4124
5520000 36.4157
5530000 36.419
5540000 36.4223
5550000 36.4258
5560000 36.4293
5570000 36.4328
5580000 36.4363
5590000 36.4399
5600000 36.4434
5610000 36.4469
5620000 36.4503
5630000 36.4538
5640000 36.4572
5650000 36.4606
5660000 36.4639
5670000 36.4672
5680000 36.4705
5690000 36.4738
5700000 36.4771
5710000 36.4806
5720000 36.4841
5730000 36.4876
5740000 36.491
5750000 36.4944
5760000 36.4977
5770000 36.5011
5780000 36.5045
5790000 36.5079
5800000 36.5113
5810000 36.5147
5820000 36.5181
5830000 36.5215
5840000 36.5249
5850000 36.5283
5860000 36.5318
5870000 36.5353
5880000 36.5387
5890000 36.5421
5900000 36.5454
5910000 36.5488
5920000 36.5522
5930000 36.5555
5940000 36.5589
5950000 36.5623
5960000 36.5657
5970000 36.569
5980000 36.5723
5990000 36.5757
6000000 36.5791
