# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1000000 34 27000
  24 23.5 810.04 0.700727
  25 24.5 810.818 0.701399
  26 25.5 820.89 0.710113
  27 26.5 814.253 0.704371
  28 27.5 812.351 0.702726
  29 28.5 804.336 0.695792
  30 29.5 820.218 0.709531
  31 30.5 815.652 0.705581
  32 31.5 818.717 0.708233
  33 32.5 817.175 0.706899
  34 33.5 465.576 0.402747
7000000 34 189000
  1 0.5 445.791 0.385632
  2 1.5 827.624 0.715938
  3 2.5 821.191 0.710373
  4 3.5 826.036 0.714564
  5 4.5 822.738 0.711711
  6 5.5 818.569 0.708105
  7 6.5 816.941 0.706696
  8 7.5 809.083 0.699899
  9 8.5 818.98 0.70846
  10 9.5 815.547 0.705491
  11 10.5 807.536 0.698561
  12 11.5 813.386 0.703621
  13 12.5 816.91 0.70667
  14 13.5 813.527 0.703743
  15 14.5 807.993 0.698956
  16 15.5 809.659 0.700397
  17 16.5 810.453 0.701084
  18 17.5 811.976 0.702401
  19 18.5 819.102 0.708566
  20 19.5 818.149 0.707741
  21 20.5 820.838 0.710067
  22 21.5 815.835 0.70574
  23 22.5 819.702 0.709085
  24 23.5 810.899 0.701469
  25 24.5 811.025 0.701578
  26 25.5 820.086 0.709417
  27 26.5 813.945 0.704105
  28 27.5 811.357 0.701866
  29 28.5 805.481 0.696783
  30 29.5 821.097 0.710292
  31 30.5 817.797 0.707437
  32 31.5 820.317 0.709617
  33 32.5 819.234 0.70868
  34 33.5 441.196 0.381657
