10	1.983619	2.413993	2.781286	2.353033																					
20	0.746757	0.806245	0.69225	0.819616																					
30	0.697436	0.726365	0.660161	0.629961																					
40	0.584232	0.44478	0.387834	0.423197																					
50	0.30459	0.327783	0.326487	0.292084																					
60	0.200376	0.264589	0.304309	0.233823																					
70	0.192803	0.297869	0.155024	0.274314																					
80	0.12404	0.217973	0.198133	0.379602																					
90	0.202486	0.220951	0.187456	0.225375																					
100	0.146472	0.22497	0.193823	0.2026																					
110	0.109244	0.249099	0.179887	0.239924																					
120	0.206803	0.16827	0.201174	0.195661																					
130	0.206486	0.216076	0.146159	0.122262																					
140	0.111965	0.134411	0.09091	0.190009																					
150	0.164592	0.094365	0.138477	0.169348																					
160	0.248715	0.130317	0.122546	0.046143																					
170	0.102375	0.124344	0.134132	0.107326																					
180	0.205683	0.152344	0.132115	0.098502																					
190	0.225534	0.12428	0.091031	0.178441																					
200	0.131234	0.155644	0.128741	0.143779																					
210	0.089057	0.134309	0.142474	0.156144																					
220	0.078385	0.056421	0.089226	0.148756																					
230	0.13577	0.058849	0.137434	0.096914																					
240	0.146816	-0.026009	0.187409	0.115992																					
250	0.085508	0.092195	0.105654	0.259573																					
260	0.16056	0.068087	0.094259	0.207071																					
270	0.143457	0.037335	0.096719	0.113864																					
280	0.121716	0.105781	0.137322	0.144832																					
290	0.188887	0.026153	0.194739	0.045141																					
300	0.064119	0.035046	0.189866	0.068478																					
310	0.081513	0.106381	0.185232	0.116479																					
320	0.037237	0.089957	0.17592	0.132157																					
330	0.087569	0.092824	0.066866	0.200883																					
340	0.026419	0.096438	0.042794	0.141718																					
350	0.112404	0.089622	0.052685	0.185885																					
360	-0.020168	0.086085	0.104337	0.164311																					
370	0.065784	0.032599	0.067701	0.132115																					
380	0.142976	0.061944	0.11919	0.219371																					
390	0.114963	0.015349	0.048254	0.203865																					
400	0.135346	0.024074	0.108132	0.248461																					
410	0.118369	0.112868	0.114158	0.148112																					
420	0.003099	0.022931	0.055868	0.125355																					
430	0.047434	0.101492	0.11154	0.099964																					
440	0.076238	0.085673	0.075543	0.150729																					
450	0.152371	0.157853	0.067394	0.150372																					
460	0.112984	0.096965	-0.013276	0.101013																					
470	0.084661	0.10073	-0.031332	0.206315																					
480	0.114152	0.097634	0.075039	0.141084																					
490	0.130395	0.085808	0.074175	-0.013153																					
500	0.022735	0.172066	0.081092	0.044159																					
510	-0.017416	0.090003	0.031759	0.140143																					
520	-0.0208	0.031251	-0.0008	0.111401																					
530	0.01632	0.101518	-0.025762	0.106844																					
540	-0.022835	0.090396	-0.01578	0.02956																					
550	0.040688	0.049412	0.072128	0.048046																					
560	0.002903	0.08351	0.012244	0.048204																					
570	0.033035	0.053282	0.089798	0.006076																					
580	0.031896	0.032232	0.082456	0.044317																					
590	0.051636	0.025081	0.037934	0.040429																					
600	0.027894	-0.071123	0.122237	0.058546																					
610	0.10315	-0.136646	0.078252	0.076613																					
620	0.019289	0.011318	0.08681	0.047081																					
630	0.068627	-0.005386	0.099537	0.129497																					
640	0.069185	0.013465	0.043391	0.084861																					
650	-0.043303	0.071777	0.056105	0.138921																					
660	0.083037	0.036346	0.130263	0.061469																					
670	0.112648	0.025466	0.011351	0.05349																					
680	0.196265	0.037284	0.054484	0.070908																					
690	0.134059	0.043857	0.048081	0.022316																					
700	-0.027975	0.099001	0.108039	-0.039552																					
710	0.016683	0.003453	0.065382	0.071251																					
720	0.054073	0.096016	0.031343	0.032973																					
730	0.099364	0.080695	0.133079	0.032807																					
740	0.053433	0.046171	0.062065	-0.034445																					
750	0.055606	0.0625	0.108529	-0.044609																					
760	0.075357	0.028154	0.218691	-0.051685																					
770	-0.045095	0.085582	0.061799	0.147393																					
780	0.09911	0.042784	-0.021908	0.154803																					
790	0.078387	0.006312	0.025128	0.111774																					
800	-0.050428	0.042957	-0.01009	0.055428																					
810	0.071922	0.056329	0.030164	0.018071																					
820	0.033372	0.060692	-0.00837	0.034068																					
830	0.098858	0.066005	0.02552	0.044986																					
840	0.146472	0.079176	0.062462	0.070209																					
850	0.007451	0.070721	0.077661	0.076133																					
860	0.023947	0.074986	0.058934	0.156126																					
870	0.031596	0.044494	0.020757	0.088291																					
880	0.061851	0.058573	-0.003053	0.071422																					
890	0.052504	0.031049	0.035251	0.100862																					
900	0.037373	-0.016273	0.05975	0.082277																					
910	0.053621	-0.016626	0.059075	0.08777																					
920	-0.02016	-0.010216	0.071152	0.12458																					
930	0.052753	0.111397	0.042777	-0.03918																					
940	0.037743	0.057494	0.002523	-0.021919																					
