# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1000000 34 27000
  1 0.5 810.302 0.709693
  2 1.5 795.148 0.696421
  3 2.5 810.682 0.710026
  4 3.5 806.748 0.70658
  5 4.5 805.862 0.705804
  6 5.5 801.284 0.701795
  7 6.5 795.234 0.696496
  8 7.5 824.164 0.721834
  9 8.5 803.346 0.703601
  10 9.5 790.278 0.692155
  11 10.5 788.366 0.690481
  12 11.5 786.5 0.688846
  13 12.5 803.096 0.703382
  14 13.5 790.51 0.692358
  15 14.5 795.136 0.69641
  16 15.5 807.71 0.707423
  17 16.5 789.42 0.691404
  18 17.5 768.046 0.672684
  19 18.5 792.744 0.694315
  20 19.5 801.294 0.701803
  21 20.5 787.074 0.689349
  22 21.5 800.668 0.701255
  23 22.5 799.128 0.699906
  24 23.5 811.93 0.711119
  25 24.5 785.612 0.688069
  26 25.5 800.634 0.701225
  27 26.5 796.516 0.697619
  28 27.5 790.496 0.692346
  29 28.5 794.846 0.696156
  30 29.5 775.388 0.679114
  31 30.5 817.436 0.715941
  32 31.5 817.456 0.715959
  33 32.5 811.008 0.710311
  34 33.5 645.938 0.565737
2000000 34 54000
  1 0.5 811.979 0.711162
  2 1.5 801.41 0.701905
  3 2.5 804.995 0.705045
  4 3.5 810.128 0.709541
  5 4.5 807.221 0.706995
  6 5.5 799.13 0.699908
  7 6.5 795.512 0.696739
  8 7.5 816.314 0.714959
  9 8.5 810.204 0.709607
  10 9.5 794.755 0.696076
  11 10.5 792.711 0.694286
  12 11.5 792.516 0.694115
  13 12.5 793.848 0.695282
  14 13.5 792.324 0.693947
  15 14.5 794.847 0.696157
  16 15.5 807.62 0.707344
  17 16.5 784.699 0.687269
  18 17.5 783.71 0.686403
  19 18.5 787.935 0.690103
  20 19.5 791.583 0.693298
  21 20.5 786.642 0.688971
  22 21.5 800.812 0.701381
  23 22.5 795.779 0.696973
  24 23.5 809.699 0.709165
  25 24.5 793.309 0.69481
  26 25.5 791.414 0.69315
  27 26.5 797.725 0.698678
  28 27.5 796.227 0.697366
  29 28.5 801.488 0.701973
  30 29.5 778.508 0.681847
  31 30.5 809.483 0.708976
  32 31.5 810.945 0.710256
  33 32.5 811.926 0.711115
  34 33.5 642.602 0.562815
3000000 34 81000
  1 0.5 625.539 0.547871
  2 1.5 812.869 0.711942
  3 2.5 814.854 0.71368
  4 3.5 817.285 0.715809
  5 4.5 817.229 0.71576
  6 5.5 812.023 0.711201
  7 6.5 808.655 0.70825
  8 7.5 823.414 0.721177
  9 8.5 817.167 0.715706
  10 9.5 804.244 0.704387
  11 10.5 803.629 0.703848
  12 11.5 802.882 0.703194
  13 12.5 805.122 0.705156
  14 13.5 805.461 0.705453
  15 14.5 809.488 0.70898
  16 15.5 819.169 0.717459
  17 16.5 802.397 0.702769
  18 17.5 800.831 0.701398
  19 18.5 802.149 0.702553
  20 19.5 805.183 0.705209
  21 20.5 805.307 0.705318
  22 21.5 816.087 0.71476
  23 22.5 814.474 0.713347
  24 23.5 823.4 0.721165
  25 24.5 809.357 0.708866
  26 25.5 803.163 0.70344
  27 26.5 804.057 0.704224
  28 27.5 803.535 0.703767
  29 28.5 808.351 0.707984
  30 29.5 794.991 0.696283
  31 30.5 816.17 0.714832
  32 31.5 817.208 0.715742
  33 32.5 819.197 0.717483
  34 33.5 455.113 0.398605
4000000 34 108000
  1 0.5 531.752 0.465728
  2 1.5 821.146 0.71919
  3 2.5 822.43 0.720315
  4 3.5 824.513 0.72214
  5 4.5 823.209 0.720997
  6 5.5 818.616 0.716975
  7 6.5 815.187 0.713971
  8 7.5 826.373 0.723768
  9 8.5 820.562 0.718679
  10 9.5 808.88 0.708448
  11 10.5 808.694 0.708285
  12 11.5 809.187 0.708716
  13 12.5 811.237 0.710512
  14 13.5 811.174 0.710457
  15 14.5 814.562 0.713425
  16 15.5 821.877 0.719831
  17 16.5 809.846 0.709293
  18 17.5 805.933 0.705866
  19 18.5 806.983 0.706786
  20 19.5 809.629 0.709104
  21 20.5 810.712 0.710053
  22 21.5 819.999 0.718186
  23 22.5 819.527 0.717773
  24 23.5 826.533 0.723909
  25 24.5 816.462 0.715088
  26 25.5 811.235 0.71051
  27 26.5 811.531 0.710769
  28 27.5 809.407 0.708909
  29 28.5 813.429 0.712432
  30 29.5 804.998 0.705048
  31 30.5 823.325 0.721099
  32 31.5 825.181 0.722725
  33 32.5 825.859 0.723318
  34 33.5 360.015 0.315315
5000000 34 135000
  1 0.5 473.041 0.414307
  2 1.5 822.913 0.720738
  3 2.5 824.232 0.721894
  4 3.5 827.122 0.724424
  5 4.5 828.419 0.72556
  6 5.5 824.636 0.722247
  7 6.5 821.509 0.719508
  8 7.5 829.118 0.726172
  9 8.5 823.715 0.72144
  10 9.5 813.075 0.712122
  11 10.5 813.428 0.712431
  12 11.5 814.12 0.713037
  13 12.5 815.91 0.714604
  14 13.5 815.86 0.714561
  15 14.5 820.14 0.718309
  16 15.5 826.129 0.723555
  17 16.5 816.182 0.714843
  18 17.5 811.948 0.711135
  19 18.5 810.702 0.710043
  20 19.5 811.524 0.710763
  21 20.5 812.994 0.71205
  22 21.5 822.222 0.720133
  23 22.5 823.04 0.72085
  24 23.5 827.928 0.72513
  25 24.5 820.531 0.718652
  26 25.5 817.516 0.716011
  27 26.5 817.96 0.716401
  28 27.5 815.115 0.713908
