# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1000000 34 27000
  1 0.5 791.178 0.692943
  2 1.5 828.822 0.725914
  3 2.5 802.082 0.702494
  4 3.5 808.678 0.708271
  5 4.5 815.496 0.714242
  6 5.5 823.958 0.721653
  7 6.5 770.272 0.674633
  8 7.5 796.952 0.698001
  9 8.5 799.596 0.700316
  10 9.5 791.212 0.692973
  11 10.5 798.9 0.699707
  12 11.5 780.946 0.683982
  13 12.5 799.354 0.700104
  14 13.5 792.968 0.694511
  15 14.5 812.964 0.712024
  16 15.5 803.936 0.704117
  17 16.5 789.392 0.691379
  18 17.5 784.694 0.687265
  19 18.5 798.362 0.699236
  20 19.5 812.75 0.711837
  21 20.5 812.884 0.711954
  22 21.5 797.29 0.698297
  23 22.5 812.384 0.711517
  24 23.5 807.684 0.7074
  25 24.5 819.91 0.718108
  26 25.5 809.316 0.708829
  27 26.5 805.544 0.705526
  28 27.5 801.782 0.702231
  29 28.5 811.374 0.710632
  30 29.5 771.844 0.67601
  31 30.5 774.414 0.678261
  32 31.5 790.42 0.69228
  33 32.5 761.622 0.667057
  34 33.5 621.02 0.543913
2000000 34 54000
  1 0.5 797.52 0.698498
  2 1.5 810.797 0.710127
  3 2.5 809.45 0.708947
  4 3.5 809.098 0.708639
  5 4.5 804.83 0.7049
  6 5.5 795.124 0.6964
  7 6.5 802.201 0.702598
  8 7.5 792.944 0.69449
  9 8.5 793.107 0.694633
  10 9.5 793.802 0.695242
  11 10.5 796.443 0.697555
  12 11.5 784.753 0.687316
  13 12.5 797.754 0.698703
  14 13.5 801.076 0.701613
  15 14.5 801.438 0.70193
  16 15.5 793.384 0.694876
  17 16.5 791.008 0.692795
  18 17.5 792.262 0.693893
  19 18.5 811.865 0.711062
  20 19.5 816.632 0.715237
  21 20.5 801.593 0.702065
  22 21.5 804.005 0.704178
  23 22.5 814.458 0.713333
  24 23.5 804.876 0.704941
  25 24.5 807.101 0.706889
  26 25.5 810.6 0.709954
  27 26.5 804.016 0.704187
  28 27.5 790.566 0.692407
  29 28.5 795.883 0.697064
  30 29.5 774.249 0.678116
  31 30.5 790.682 0.692509
  32 31.5 778.928 0.682214
  33 32.5 787.713 0.689909
  34 33.5 639.842 0.560398
3000000 34 81000
  1 0.5 679.664 0.595275
